P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,200.0,0,5.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,0,5.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,3.0,36,1.929626075208212,1.9296260752082137,1.7763568394002505e-15,0.0,4.0
50.0,200.0,50,3.0,40,1.8306040290327952,1.830604029032797,1.7763568394002505e-15,0.0,4.0
50.0,200.0,50,3.0,45,1.7259100301286734,1.725910030128675,1.5543122344752192e-15,0.0,4.0
50.0,200.0,50,3.0,50,1.6373420195209316,1.6373420195209332,1.5543122344752192e-15,0.0,4.0
50.0,200.0,50,3.5,36,1.9296260752082144,1.9296260752082133,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,50,3.5,40,1.8306040290327976,1.8306040290327965,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,50,3.5,45,1.7259100301286756,1.7259100301286747,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,50,3.5,50,1.6373420195209336,1.6373420195209327,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,50,4.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,4.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,4.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,4.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,4.5,36,1.929626075208214,1.9296260752082168,2.886579864025407e-15,0.0,4.0
50.0,200.0,50,4.5,40,1.8306040290327972,1.8306040290327998,2.6645352591003757e-15,0.0,4.0
50.0,200.0,50,4.5,45,1.7259100301286754,1.7259100301286778,2.4424906541753444e-15,0.0,4.0
50.0,200.0,50,4.5,50,1.6373420195209332,1.6373420195209356,2.4424906541753444e-15,0.0,4.0
50.0,200.0,50,5.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,5.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,5.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,50,5.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,3.0,36,1.929626075208212,1.9296260752082137,1.7763568394002505e-15,0.0,4.0
50.0,200.0,100,3.0,40,1.8306040290327952,1.830604029032797,1.7763568394002505e-15,0.0,4.0
50.0,200.0,100,3.0,45,1.7259100301286734,1.725910030128675,1.5543122344752192e-15,0.0,4.0
50.0,200.0,100,3.0,50,1.6373420195209316,1.6373420195209332,1.5543122344752192e-15,0.0,4.0
50.0,200.0,100,3.5,36,1.9296260752082144,1.9296260752082133,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,100,3.5,40,1.8306040290327976,1.8306040290327965,-1.1102230246251565e-15,-0.0,4.0
50.0,200.0,100,3.5,45,1.7259100301286756,1.7259100301286747,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,100,3.5,50,1.6373420195209336,1.6373420195209327,-8.881784197001252e-16,-0.0,4.0
50.0,200.0,100,4.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,4.0,40,1.830604029032797,1.8306040290327976,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,4.0,45,1.725910030128675,1.7259100301286756,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,4.0,50,1.637342019520933,1.6373420195209336,6.661338147750939e-16,0.0,4.0
50.0,200.0,100,4.5,36,1.929626075208214,1.9296260752082168,2.886579864025407e-15,0.0,4.0
50.0,200.0,100,4.5,40,1.8306040290327972,1.8306040290327998,2.6645352591003757e-15,0.0,4.0
50.0,200.0,100,4.5,45,1.7259100301286754,1.7259100301286778,2.4424906541753444e-15,0.0,4.0
50.0,200.0,100,4.5,50,1.6373420195209332,1.6373420195209356,2.4424906541753444e-15,0.0,4.0
50.0,200.0,100,5.0,36,1.9296260752082137,1.9296260752082144,6.661338147750939e-16,0.0,4.0
